file,comment,time,cluster
sample2.1.xml,Simulation start,0.0,8
sample2.1.xml,Enforce to disable encryption in simulation,0.0,11
sample2.1.xml,Simulated cluster using ssd storage engine,0.0,10
sample2.1.xml,Simulated cluster running in single redundancy mode,0.0,10
sample2.1.xml,SSL disabled,0.0,11
sample2.1.xml,Use IPv6,0.0,3
sample2.1.xml,Use IP address,0.0,3
sample2.1.xml,&quot;Loopback&quot; delivery,4.839817,3
sample2.1.xml,Get tenant info without tenant,4.839817,7
sample2.1.xml,ReadYourWritesTransaction::get,4.839817,3
sample2.1.xml,More than one push between commits,5.347557,3
sample2.1.xml,KeyValueStoreMemory switching to large transaction mode,5.353169,3
sample2.1.xml,No uncommitted data was popped,5.353169,8
sample2.1.xml,Get tenant info raw access transaction,7.874702,6
sample2.1.xml,Emergency transaction processing during recovery,7.87647,8
sample2.1.xml,ClusterController RecruitTLogsRequest,7.87647,2
sample2.1.xml,Read HashLittle2 checksum,7.880621,9
sample2.1.xml,BTree integrity checked,7.899186,8
sample2.1.xml,Resolver first unseen version is current version,7.924432,3
sample2.1.xml,The proxy that sent this request has the oldest current version,7.924432,3
sample2.1.xml,Accessing tenant mode in provisional ClientDBInfo,7.924588,6
sample2.1.xml,addTransactionInfo with invalid SpanContext,7.926892,6
sample2.1.xml,Wrote SpanContextMessage to a transaction log,7.926892,8
sample2.1.xml,Converting OTELSpanContextMessage to untraced SpanContextMessage,7.926892,9
sample2.1.xml,KeyValueStoreMemory switching to large transaction mode with committed data,7.926892,3
sample2.1.xml,No new SpanContextMessage written to transaction logs,7.926892,8
sample2.1.xml,Key server location request at latest version,8.408168,3
sample2.1.xml,Running Consistency Scan,8.408918,8
sample2.1.xml,TLog moved data to persistentData,8.410087,8
sample2.1.xml,ServerDBInfo changed during monitorTenantsOverStorageQuota,8.411929,3
sample2.1.xml,shardServer dbInfo changed,8.412459,0
sample2.1.xml,"We didn't write everything, so apparently the write buffer is full.  Wait for it to be nonfull",8.413052,8
sample2.1.xml,Consistency Scan found DD worker,8.415412,8
sample2.1.xml,The proxy that sent this request does not have the oldest current version,8.422227,3
sample2.1.xml,Global tag throttler ignoring transactions because maximum number of trackable tags has been reached,8.467501,5
sample2.1.xml,storageserveractor converting SpanContextMessage into OTEL SpanContext,8.627501,6
sample2.1.xml,ShardNotifyMetrics bytes,8.627501,0
sample2.1.xml,ShardNotifyMetrics ios,8.627501,0
sample2.1.xml,large format result,8.627501,9
sample2.1.xml,Deleting old state transactions,8.640038,8
sample2.1.xml,Removing client throttle,8.700133,5
sample2.1.xml,getConsistentReadVersion received GetReadVersionReply delayed by proxy tag throttling,8.700133,5
sample2.1.xml,Key server location request with specific version,8.701121,3
sample2.1.xml,SQLite vacuuming when lazy delete is inactive,8.872823,8
sample2.1.xml,Tracking transaction tag in TransactionTagCounter,9.26393,5
sample2.1.xml,push more than one page of data,9.38188,3
sample2.1.xml,LatencyBandsMap reached maxSize,9.415384,5
sample2.1.xml,Incoming connection timed out,10.406528,8
sample2.1.xml,Native begin orEqual==true,10.871907,9
sample2.1.xml,Native end orEqual==true,10.871907,9
sample2.1.xml,First storage server in process on the machine,10.887436,8
sample2.1.xml,ShardWaitMetrics return case 1 (quickly),10.888771,0
sample2.1.xml,Wait for local batch,11.252934,8
sample2.1.xml,notifyBytes,11.291419,3
